"TIME","GEO","NACE_R2","INDIC_SB","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of enterprises",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Turnover or gross premiums written",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Production value",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Gross margin on goods for resale",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Value added at factor cost",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Gross operating surplus",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Total purchases of goods and services",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Purchases of goods and services purchased for resale in the same condition as received",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Payments for agency workers",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Personnel costs",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Wages and Salaries",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Social security costs",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Gross investment in tangible goods",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of persons employed",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of unpaid persons employed",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of employees",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of employees in full time equivalent units",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Turnover per person employed",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Apparent labour productivity (Gross value added per person employed)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Wage adjusted labour productivity (Apparent labour productivity by average personnel costs) (%)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Gross value added per employee",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Share of personnel costs in production (%)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Average personnel costs (personnel costs per employee) (thousand euro)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Share of employees in persons employed",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Growth rate of employment (%)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Employer's social charges as a percentage of personnel costs",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Number of persons employed per enterprise",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Gross operating surplus/turnover (gross operating rate) (%)",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Value added at factor cost in production value",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Share of personnel costs in total purchases of goods and services",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Share of gross operating surplus in value added",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Investment per person employed",":",""
"2008","European Union (28 countries)","Manufacture of machinery and equipment n.e.c.","Investment rate (investment/value added at factors cost)",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Number of enterprises",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Turnover or gross premiums written",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Production value",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Gross margin on goods for resale",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Value added at factor cost",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Gross operating surplus",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Total purchases of goods and services",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Purchases of goods and services purchased for resale in the same condition as received",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Payments for agency workers",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Personnel costs",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Wages and Salaries",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Social security costs",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Gross investment in tangible goods",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Number of persons employed",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Number of unpaid persons employed",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Number of employees",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Number of employees in full time equivalent units",":",""
"2008","European Union (27 countries)","Manufacture of machinery and equipment n.e.c.","Turnover per person employed",":",""
